Datetime,Water Level (m)
2023-03-20 12:00:00,-0.65069544
2023-03-20 13:00:00,-1.1263529
2023-03-20 14:00:00,-1.325706
2023-03-20 15:00:00,-0.81395924
2023-03-20 16:00:00,-0.2383283
2023-03-20 17:00:00,0.34246534
2023-03-20 18:00:00,0.8435736
2023-03-20 19:00:00,1.2474229
2023-03-20 20:00:00,1.4184335
2023-03-20 21:00:00,1.2294054
2023-03-20 22:00:00,0.80441844
2023-03-20 23:00:00,0.2497784
2023-03-21 00:00:00,-0.32113418
2023-03-21 01:00:00,-0.9096631
2023-03-21 02:00:00,-1.3505094
2023-03-21 03:00:00,-1.1743186
2023-03-21 04:00:00,-0.5395471
2023-03-21 05:00:00,0.04032731
2023-03-21 06:00:00,0.5456385
2023-03-21 07:00:00,0.9856793
2023-03-21 08:00:00,1.2843761
2023-03-21 09:00:00,1.2468145
2023-03-21 10:00:00,0.9073246
2023-03-21 11:00:00,0.38429284
2023-03-21 12:00:00,-0.18302491
2023-03-21 13:00:00,-0.7516939
2023-03-21 14:00:00,-1.271799
2023-03-21 15:00:00,-1.3117791
2023-03-21 16:00:00,-0.5952365
2023-03-21 17:00:00,0.017674755
2023-03-21 18:00:00,0.56731147
2023-03-21 19:00:00,1.0391419
2023-03-21 20:00:00,1.3756547
2023-03-21 21:00:00,1.4116435
2023-03-21 22:00:00,1.0879929
2023-03-21 23:00:00,0.57509995
2023-03-22 00:00:00,-0.004307422
2023-03-22 01:00:00,-0.5999469
2023-03-22 02:00:00,-1.1770728
2023-03-22 03:00:00,-1.4674757
2023-03-22 04:00:00,-0.91465014
2023-03-22 05:00:00,-0.2762811
2023-03-22 06:00:00,0.33130798
2023-03-22 07:00:00,0.8235984
2023-03-22 08:00:00,1.2333145
2023-03-22 09:00:00,1.4336461
2023-03-22 10:00:00,1.2466305
2023-03-22 11:00:00,0.81850386
2023-03-22 12:00:00,0.2569282
2023-03-22 13:00:00,-0.31531638
2023-03-22 14:00:00,-0.8976091
2023-03-22 15:00:00,-1.3384053
2023-03-22 16:00:00,-0.98092365
2023-03-22 17:00:00,-0.35578474
2023-03-22 18:00:00,0.23585111
2023-03-22 19:00:00,0.74404997
2023-03-22 20:00:00,1.1844423
2023-03-22 21:00:00,1.4371827
2023-03-22 22:00:00,1.3178356
2023-03-22 23:00:00,0.9210358
2023-03-23 00:00:00,0.3623931
2023-03-23 01:00:00,-0.23883922
2023-03-23 02:00:00,-0.8019499
2023-03-23 03:00:00,-1.3107605
2023-03-23 04:00:00,-1.3477143
2023-03-23 05:00:00,-0.6417338
2023-03-23 06:00:00,-0.022297198
2023-03-23 07:00:00,0.55329424
2023-03-23 08:00:00,1.031055
2023-03-23 09:00:00,1.3967488
2023-03-23 10:00:00,1.4605378
2023-03-23 11:00:00,1.1633997
2023-03-23 12:00:00,0.65740126
2023-03-23 13:00:00,0.08189398
2023-03-23 14:00:00,-0.49200642
2023-03-23 15:00:00,-1.0584784
2023-03-23 16:00:00,-1.3377347
2023-03-23 17:00:00,-0.7466642
2023-03-23 18:00:00,-0.16586514
2023-03-23 19:00:00,0.3900926
2023-03-23 20:00:00,0.85874075
2023-03-23 21:00:00,1.2371769
2023-03-23 22:00:00,1.3570123
2023-03-23 23:00:00,1.1047143
2023-03-24 00:00:00,0.6392815
2023-03-24 01:00:00,0.07850164
2023-03-24 02:00:00,-0.507105
2023-03-24 03:00:00,-1.080819
2023-03-24 04:00:00,-1.4643478
2023-03-24 05:00:00,-1.0238968
2023-03-24 06:00:00,-0.39812526
2023-03-24 07:00:00,0.2101199
2023-03-24 08:00:00,0.68243295
2023-03-24 09:00:00,1.1271031
2023-03-24 10:00:00,1.3833096
2023-03-24 11:00:00,1.2769367
2023-03-24 12:00:00,0.9028717
2023-03-24 13:00:00,0.3623766
2023-03-24 14:00:00,-0.20813575
2023-03-24 15:00:00,-0.7643407
2023-03-24 16:00:00,-1.2509726
2023-03-24 17:00:00,-1.2055882
2023-03-24 18:00:00,-0.5855385
2023-03-24 19:00:00,-0.038038634
2023-03-24 20:00:00,0.45843884
2023-03-24 21:00:00,0.8808491
2023-03-24 22:00:00,1.1589588
